,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_GOODS_PRICE,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION
2203,2480438,136306,Cash loans,29371.41,450000.0,541408.5,450000.0,Buying a holiday home / land,Approved,-536,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
2256,2354943,401528,Cash loans,14139.36,67500.0,69727.5,67500.0,Urgent needs,Approved,-410,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
2319,1359642,212355,Cash loans,24780.69,315000.0,356044.5,315000.0,Repairs,Approved,-560,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,low_normal,Cash Street: low
2509,2437780,448514,Cash loans,19925.775,157500.0,167895.0,157500.0,Repairs,Approved,-371,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
2599,2118633,244889,Cash loans,27117.81,450000.0,645048.0,450000.0,Journey,Approved,-719,XNA,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
2669,1158090,221319,Cash loans,10666.35,135000.0,135000.0,135000.0,Repairs,Approved,-814,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Regional / Local,305,Consumer electronics,24.0,high,Cash Street: high
3027,2362596,370565,Cash loans,33970.185,1035000.0,1185282.0,1035000.0,Repairs,Approved,-577,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low
3029,2269449,207107,Cash loans,6861.195,180000.0,239400.0,180000.0,Urgent needs,Approved,-759,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low
3112,2011935,313474,Cash loans,10428.345,121500.0,121500.0,121500.0,Medicine,Approved,-2165,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
3246,1223435,138489,Cash loans,28409.175,135000.0,139455.0,135000.0,Education,Approved,-771,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Country-wide,85,Connectivity,6.0,high,Cash Street: high
3294,2367048,234456,Cash loans,26126.865,337500.0,384277.5,337500.0,Everyday expenses,Approved,-334,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
3528,1487853,198949,Cash loans,8888.625,112500.0,112500.0,112500.0,Car repairs,Approved,-684,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,80,Connectivity,24.0,high,Cash Street: high
3538,2048432,330113,Cash loans,18852.435,90000.0,92970.0,90000.0,Urgent needs,Approved,-402,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),-1,XNA,6.0,high,Cash Street: high
3600,1373367,357047,Cash loans,28771.2,540000.0,540000.0,540000.0,Repairs,Approved,-595,Cash through the bank,XAP,New,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,24.0,low_normal,Cash Street: low
3652,1043062,143695,Cash loans,14613.21,450000.0,553950.0,450000.0,Repairs,Approved,-269,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_action,Cash Street: low
3839,2252606,222123,Cash loans,12897.0,450000.0,450000.0,450000.0,Buying a used car,Approved,-625,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Channel of corporate sales,-1,XNA,60.0,low_normal,Cash Street: low
4020,1818943,321627,Cash loans,10180.215,90000.0,95940.0,90000.0,Everyday expenses,Approved,-520,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,60,Connectivity,12.0,middle,Cash Street: middle
4220,1856803,312365,Cash loans,10601.55,135000.0,135000.0,135000.0,Repairs,Approved,-337,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,30,Connectivity,18.0,middle,Cash Street: middle
4232,2387186,213909,Cash loans,16128.36,157500.0,236479.5,157500.0,Education,Approved,-274,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,15,Connectivity,36.0,high,Cash Street: high
4252,1027948,253115,Cash loans,27796.095,450000.0,512370.0,450000.0,Repairs,Approved,-832,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
4258,1285103,263289,Cash loans,12963.78,180000.0,232159.5,180000.0,Everyday expenses,Approved,-693,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,low_normal,Cash Street: low
4295,1493606,390104,Cash loans,61480.89,1354500.0,1451047.5,1354500.0,Buying a new car,Approved,-650,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low
4455,2685732,395064,Cash loans,25258.5,450000.0,450000.0,450000.0,Repairs,Approved,-931,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,24.0,low_normal,Cash Street: low
4465,2528751,233826,Cash loans,18692.955,180000.0,191880.0,180000.0,Medicine,Approved,-616,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,low_normal,Cash Street: low
4889,1635284,142798,Cash loans,17208.36,225000.0,247275.0,225000.0,Repairs,Approved,-1870,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,18.0,low_normal,Cash Street: low
5058,2478609,259560,Cash loans,19274.085,180000.0,243945.0,180000.0,Repairs,Approved,-494,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
5108,1062863,404763,Cash loans,15944.58,135000.0,173839.5,135000.0,Repairs,Approved,-771,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),-1,XNA,18.0,high,Cash Street: high
5166,2528232,416575,Cash loans,5823.585,45000.0,47970.0,45000.0,Everyday expenses,Approved,-674,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,12,Connectivity,12.0,high,Cash Street: high
5212,1739541,146211,Cash loans,10178.1,90000.0,90000.0,90000.0,Buying a new car,Approved,-2121,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high
5220,2552794,447409,Cash loans,35004.825,337500.0,441391.5,337500.0,Buying a used car,Approved,-355,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,24.0,high,Cash Street: high
5240,1079789,156727,Cash loans,24219.54,225000.0,304924.5,225000.0,Education,Approved,-1508,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
5308,2490754,390994,Cash loans,11084.13,328500.0,415224.0,328500.0,Buying a used car,Approved,-222,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low
5471,1331249,227702,Cash loans,37835.415,180000.0,185940.0,180000.0,Repairs,Approved,-525,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),2,XNA,6.0,high,Cash Street: high
5632,1561222,146499,Cash loans,28222.155,450000.0,545040.0,450000.0,Journey,Approved,-92,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,24.0,low_normal,Cash Street: low
5656,2327576,155721,Cash loans,28278.675,135000.0,139455.0,135000.0,Urgent needs,Approved,-337,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
5673,1689986,402398,Cash loans,46484.46,1575000.0,1762110.0,1575000.0,Repairs,Approved,-772,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low
5676,2714637,344006,Cash loans,20847.06,337500.0,384277.5,337500.0,Repairs,Approved,-655,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
5681,1220451,213214,Cash loans,18852.435,90000.0,92970.0,90000.0,Repairs,Approved,-636,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
5747,1946787,297408,Cash loans,8719.785,225000.0,270297.0,225000.0,Urgent needs,Approved,-753,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),2,XNA,60.0,low_normal,Cash Street: low
5748,1815629,431605,Cash loans,6536.34,45000.0,55075.5,45000.0,Everyday expenses,Approved,-557,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),3,XNA,12.0,high,Cash Street: high
5812,1126287,348899,Cash loans,26574.255,225000.0,289732.5,225000.0,Repairs,Approved,-373,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,18.0,high,Cash Street: high
5837,2105926,270175,Cash loans,37002.645,607500.0,679671.0,607500.0,Urgent needs,Approved,-523,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
5912,1609065,220410,Cash loans,31544.37,675000.0,744498.0,675000.0,Buying a home,Approved,-512,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
5945,1770751,212885,Cash loans,9636.705,90000.0,121968.0,90000.0,Urgent needs,Approved,-669,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
6017,2785157,327480,Cash loans,18111.465,202500.0,229230.0,202500.0,Urgent needs,Approved,-786,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,55,Connectivity,24.0,high,Cash Street: high
6027,1078828,352039,Cash loans,19739.565,135000.0,165226.5,135000.0,Urgent needs,Approved,-584,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
6054,1850999,171905,Cash loans,26574.255,225000.0,289732.5,225000.0,Repairs,Approved,-401,XNA,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,18.0,high,Cash Street: high
6215,1205461,291840,Cash loans,26574.255,225000.0,289732.5,225000.0,Repairs,Approved,-750,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
6228,1205952,122476,Cash loans,25996.365,337500.0,384277.5,337500.0,Repairs,Approved,-609,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,20,Connectivity,36.0,high,Cash Street: high
6278,1134989,275363,Cash loans,9426.24,45000.0,46485.0,45000.0,Urgent needs,Approved,-309,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),-1,XNA,6.0,high,Cash Street: high
6352,1719168,441217,Cash loans,9125.1,45000.0,45000.0,45000.0,Journey,Approved,-669,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,50,Connectivity,6.0,high,Cash Street: high
6381,1462075,370957,Cash loans,21237.75,90000.0,104733.0,90000.0,Urgent needs,Approved,-427,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
6445,1294427,325166,Cash loans,52788.78,1125000.0,1255680.0,1125000.0,Repairs,Approved,-644,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,48.0,middle,Cash Street: middle
6500,1059357,228934,Cash loans,22248.045,112500.0,116212.5,112500.0,Repairs,Approved,-328,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,middle,Cash Street: middle
6600,1644279,369198,Cash loans,6666.84,45000.0,55075.5,45000.0,Payments on other loans,Approved,-621,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,40,Connectivity,12.0,high,Cash Street: high
6601,1488870,243379,Cash loans,8539.605,67500.0,71955.0,67500.0,Urgent needs,Approved,-674,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,40,Connectivity,12.0,high,Cash Street: high
6668,2476683,431210,Cash loans,25728.435,540000.0,604152.0,540000.0,Repairs,Approved,-472,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,low_normal,Cash Street: low
6761,1762454,262679,Cash loans,9132.75,135000.0,135000.0,135000.0,Education,Approved,-646,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),20,XNA,36.0,high,Cash Street: high
6794,2383354,440812,Cash loans,26541.09,135000.0,139455.0,135000.0,Urgent needs,Approved,-156,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,15,Connectivity,6.0,middle,Cash Street: middle
6797,1692623,178469,Cash loans,72955.485,1125000.0,1190340.0,1125000.0,Urgent needs,Approved,-522,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
6804,2099715,185397,Cash loans,19926.27,90000.0,104013.0,90000.0,Journey,Approved,-237,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,middle,Cash Street: middle
6838,1449631,422008,Cash loans,23565.555,112500.0,116212.5,112500.0,Urgent needs,Approved,-687,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
6849,1937947,257987,Cash loans,23565.555,112500.0,116212.5,112500.0,Urgent needs,Approved,-488,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
7081,1539828,425535,Cash loans,8564.4,45000.0,45000.0,45000.0,Urgent needs,Approved,-217,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,6.0,middle,Cash Street: middle
7115,1258461,438184,Cash loans,15175.44,333000.0,333000.0,333000.0,Repairs,Approved,-1520,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,middle,Cash Street: middle
7165,2248234,141077,Cash loans,65449.485,675000.0,816282.0,675000.0,Education,Approved,-392,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,middle,Cash Street: middle
7168,2507827,149743,Cash loans,23565.555,112500.0,116212.5,112500.0,Repairs,Approved,-448,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
7207,2270098,185512,Cash loans,11240.865,135000.0,170640.0,135000.0,Wedding / gift / holiday,Approved,-376,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
7307,1851075,133899,Cash loans,26541.09,135000.0,139455.0,135000.0,Repairs,Approved,-328,Cash through the bank,XAP,New,XNA,Cash,walk-in,Country-wide,35,Connectivity,6.0,middle,Cash Street: middle
7369,2191509,175461,Cash loans,15351.75,225000.0,225000.0,225000.0,Urgent needs,Approved,-696,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,36.0,high,Cash Street: high
7370,1264042,320574,Cash loans,34652.475,900000.0,1048486.5,900000.0,Repairs,Approved,-869,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,48.0,low_normal,Cash Street: low
7371,1997687,108514,Cash loans,21709.125,450000.0,512370.0,450000.0,Wedding / gift / holiday,Approved,-877,Cash through the bank,XAP,New,XNA,Cash,walk-in,Regional / Local,50,Connectivity,36.0,low_normal,Cash Street: low
7388,1845295,160741,Cash loans,42727.5,450000.0,450000.0,450000.0,Hobby,Approved,-730,XNA,XAP,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,12.0,low_normal,Cash Street: low
7461,1440454,292270,Cash loans,19461.87,247500.0,287685.0,247500.0,Repairs,Approved,-831,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
7491,1606342,385557,Cash loans,22326.21,225000.0,239850.0,225000.0,Furniture,Approved,-14,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,low_action,Cash Street: low
7545,1004961,338941,Cash loans,13573.575,225000.0,254700.0,225000.0,Wedding / gift / holiday,Approved,-419,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),4,XNA,24.0,low_normal,Cash Street: low
7547,2610300,255757,Cash loans,51897.915,405000.0,480663.0,405000.0,Journey,Approved,-357,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
7617,2234162,184164,Cash loans,15944.58,135000.0,173839.5,135000.0,Repairs,Approved,-878,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,high,Cash X-Sell: high
7716,2658530,165300,Cash loans,63681.39,810000.0,851697.0,810000.0,Urgent needs,Approved,-755,Cash through the bank,XAP,New,XNA,Cash,walk-in,AP+ (Cash loan),5,XNA,18.0,middle,Cash Street: middle
7849,2660496,433220,Cash loans,49461.21,450000.0,470790.0,450000.0,Car repairs,Approved,-621,Cash through the bank,XAP,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle
8103,2465495,454091,Cash loans,37704.915,180000.0,185940.0,180000.0,Urgent needs,Approved,-338,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
8105,2245563,418781,Cash loans,24639.21,337500.0,368685.0,337500.0,Urgent needs,Approved,-613,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
8167,1058351,206385,Cash loans,45243.945,315000.0,381226.5,315000.0,Repairs,Approved,-509,Cash through the bank,XAP,Refreshed,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
8245,1104635,344995,Cash loans,9286.785,126000.0,142632.0,126000.0,Urgent needs,Approved,-184,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
8280,1268303,213279,Cash loans,118756.935,1125000.0,1157670.0,1125000.0,Repairs,Approved,-573,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,middle,Cash Street: middle
8289,1295478,198130,Cash loans,10279.44,45000.0,50692.5,45000.0,Purchase of electronic equipment,Approved,-876,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
8303,1473956,348446,Cash loans,8102.97,67500.0,86922.0,67500.0,Urgent needs,Approved,-443,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
8343,1396917,299339,Cash loans,52788.78,1125000.0,1255680.0,1125000.0,Buying a new car,Approved,-759,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Contact center,-1,XNA,48.0,middle,Cash Street: middle
8374,2106540,250881,Cash loans,25996.365,337500.0,384277.5,337500.0,Everyday expenses,Approved,-727,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
8455,1032959,372713,Cash loans,14363.19,112500.0,119925.0,112500.0,Repairs,Approved,-345,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
8543,1690397,303275,Cash loans,11516.67,90000.0,95940.0,90000.0,Repairs,Approved,-372,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high
8568,2731338,446820,Cash loans,15928.785,67500.0,78552.0,67500.0,Urgent needs,Approved,-635,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
8632,1974293,306237,Cash loans,31856.625,135000.0,157099.5,135000.0,Repairs,Approved,-480,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,high,Cash Street: high
8686,1033807,113599,Cash loans,13856.895,94500.0,115659.0,94500.0,Repairs,Approved,-629,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,0,XNA,12.0,high,Cash Street: high
8829,1208115,345900,Cash loans,33100.92,337500.0,360891.0,337500.0,Building a house or an annex,Approved,-588,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
8938,1163681,423187,Cash loans,16978.905,180000.0,197820.0,180000.0,Everyday expenses,Approved,-2097,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
8955,2158799,366062,Cash loans,32272.605,675000.0,767664.0,675000.0,Urgent needs,Approved,-791,XNA,XAP,New,XNA,Cash,walk-in,Contact center,-1,XNA,48.0,middle,Cash Street: middle
9100,1820190,334039,Cash loans,10464.39,117000.0,132444.0,117000.0,Urgent needs,Approved,-515,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,high,Cash Street: high
9192,2458725,202441,Cash loans,31043.43,315000.0,458883.0,315000.0,Building a house or an annex,Approved,-763,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high
9195,2328103,106084,Cash loans,38332.575,450000.0,573583.5,450000.0,Repairs,Approved,-542,Cash through the bank,XAP,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,24.0,middle,Cash Street: middle
9215,2294214,197900,Cash loans,21389.895,180000.0,231786.0,180000.0,Repairs,Approved,-1578,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,18.0,high,Cash Street: high
9425,2521905,374031,Cash loans,10180.215,90000.0,95940.0,90000.0,Urgent needs,Approved,-169,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Country-wide,24,Connectivity,12.0,middle,Cash Street: middle
9648,2372083,300927,Cash loans,27388.935,135000.0,143910.0,135000.0,Urgent needs,Approved,-176,Cash through the bank,XAP,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,6.0,middle,Cash Street: middle
